player_id,player_name,club,date_joined,date_left,fee,prev_club,next_club,transfer_type,season
28843,Craig Taylor,Tranmere,2001-08-01,2002-05-31,Trainee,Trainee,,Trainee,2001/02
55479,Dale Jennings,Tranmere,2010-07-01,2011-07-13,Trainee,Trainee,B Munich,Trainee,2010/11
53388,Dan Gardner,Tranmere,2015-03-02,2015-04-02,Loan,Chesterfield,,Loan,2014/15
42500,Dan Woodards,Tranmere,2014-07-28,2015-07-01,Free,Bristol R,Boreham W,Transfer,2014/15
1721,Danny Coyne,Tranmere,1992-05-08,1999-07-10,Trainee,Trainee,Grimsby,Trainee,1991/92
1721,Danny Coyne,Tranmere,2007-07-03,2009-07-06,Free,Burnley,Middlesbrough,Transfer,2007/08
26297,Danny Harrison,Tranmere,2001-07-01,2007-05-25,Youth,,Rotherham,Trainee,2001/02
26297,Danny Harrison,Tranmere,2012-07-01,2013-07-01,Free,Rotherham,Chester,Trainee,2012/13
46677,Danny Holmes,Tranmere,2007-07-01,2009-07-01,Trainee,Trainee,The New Saints,Trainee,2007/08
46677,Danny Holmes,Tranmere,2011-06-27,2015-06-24,Free,The New Saints,Newport Co,Transfer,2011/12
78589,Danny Johnson,Tranmere,2014-10-20,2015-08-06,Youth,Cardiff City,,Loan,2014/15
56548,Danny Lloyd,Tranmere,2020-11-10,2021-07-06,Free,Salford,Gillingham,Transfer,2020/21
51215,Danny Mayor,Tranmere,2009-01-01,2009-06-01,Loan,Preston,,Loan,2008/09
111844,Danny Walker-Rice,Tranmere,2017-07-01,2021-06-12,,,Bala Town,,2017/18
4316,Dariusz Kubicki,Tranmere,1998-03-03,1998-05-31,Loan,Wolves,,Loan,1997/98
88395,Darren Askew,Tranmere,2015-07-01,2017-07-01,Unknown,,,Unknown,2015/16
35630,Darren Potter,Tranmere,2019-06-28,2020-08-01,Free,Rotherham,,Transfer,2019/20
58780,Darren Stephenson,Tranmere,2016-07-01,2017-06-12,Free,Chorley,Stockport,Transfer,2016/17
9801,Dave Challinor,Tranmere,1994-07-18,2002-01-11,Signed,Brombrough P,Stockport,Transfer,1994/95
3482,Dave Higgins,Tranmere,1983-08-22,1985-08-01,Free,Eagle FC,South Liverpool,Transfer,1983/84
3482,Dave Higgins,Tranmere,1987-07-20,1997-05-31,Free,Caernarfon,Barrow,Transfer,1987/88
30552,Dave Nugent,Tranmere,2021-02-01,2021-06-01,Loan,Preston,,Loan,2020/21
55423,David Amoo,Tranmere,2013-01-09,2013-06-14,Free,Preston,Carlisle,Transfer,2012/13
626,David Beresford,Tranmere,2003-11-04,2005-07-04,Free,Plymouth,Macclesfield,Transfer,2003/04
40756,David Buchanan,Tranmere,2011-07-29,2012-05-24,Signed,Hamilton,Preston,Transfer,2011/12
4100,David Kelly,Tranmere,1997-08-01,2000-07-22,350000,Sunderland,Sheff Utd,Transfer,1997/98
37093,David Martin,Tranmere,2009-10-10,2009-11-10,Loan,Liverpool,,Loan,2009/10
22779,David Perkins,Tranmere,2019-01-05,2020-08-16,Undisc.,Rochdale,Fylde,Transfer,2018/19
40226,David Raven,Tranmere,2006-01-30,2006-05-07,Loan,Liverpool,,Loan,2005/06
40226,David Raven,Tranmere,2011-08-05,2012-06-28,Signed,Shrewsbury,Inverness CT,Transfer,2011/12
102629,Declan Drysdale,Tranmere,2016-05-01,2018-07-01,,,Coventry,,2015/16
10608,Delroy Facey,Tranmere,2005-08-31,2006-07-04,Free,Oldham,Rotherham,Transfer,2005/06
3210,Des Hamilton,Tranmere,2000-10-24,2000-11-01,Loan,Newcastle,,Loan,2000/01
3210,Des Hamilton,Tranmere,2001-01-11,2001-05-07,Loan,Newcastle,,Loan,2000/01
80289,Devarn Green,Tranmere,2017-10-27,2018-07-01,Free,Blackburn,Southport,Transfer,2017/18
38758,Dino Seremet,Tranmere,2006-01-01,2006-03-18,Loan,Luton,,Loan,2005/06
11878,Dirk Hebel,Tranmere,1997-09-03,1998-08-25,Free,B'raspor DNU,Brentford,Transfer,1997/98
68398,Donervon Daniels,Tranmere,2012-11-22,2013-03-14,Loan,West Brom,,Loan,2012/13
77908,Drissa Traore,Tranmere,2018-02-28,2018-07-01,Free,Forest Green,,Transfer,2017/18
146009,Dylan Dwyer,Tranmere,2021-11-08,2022-07-01,Unknown,,,Unknown,2021/22
78694,Dylan Mottley Henry,Tranmere,2017-10-02,2018-01-01,Loan,Barnsley,,Loan,2017/18
78694,Dylan Mottley Henry,Tranmere,2018-08-17,2019-01-03,Loan,Barnsley,,Loan,2018/19
125460,Dynel Simeu,Tranmere,2022-09-01,2023-01-02,Loan,Southampton,,Loan,2022/23
98638,Eddie Clarke,Tranmere,2016-10-25,2018-07-01,Unknown,,Fleetwood,Unknown,2016/17
22272,Edrissa Sonko,Tranmere,2008-07-01,2009-07-01,Signed,Walsall,Hereford.,Transfer,2008/09
60000,Eliot Richards,Tranmere,2014-05-28,2015-02-02,Free,Bristol R,Cheltenham,Transfer,2013/14
88950,Elliot Osborne,Tranmere,2016-09-30,2016-11-01,Loan,Fleetwood,,Loan,2016/17
104475,Elliot Rokka,Tranmere,2017-07-12,2018-07-01,Unknown,,,Unknown,2017/18
140587,Elliott Nevitt,Tranmere,2021-07-09,2023-01-11,Unknown,,Crewe,Unknown,2021/22
72487,Emmanuel Dieseruvwe,Tranmere,2021-06-28,2022-07-01,Free,Salford,Halifax,Transfer,2021/22
75406,Emmanuel Monthe,Tranmere,2018-02-01,2018-06-01,Loan,Forest Green,,Loan,2017/18
75406,Emmanuel Monthe,Tranmere,2018-06-27,2021-07-01,Undisc.,Forest Green,Walsall,Transfer,2018/19
36304,Enoch Showunmi,Tranmere,2010-07-27,2012-06-12,Free,Falkirk,Notts Co,Transfer,2010/11
5877,Eric Nixon,Tranmere,1988-03-24,1988-05-31,Loan,Man City,,Loan,1987/88
5877,Eric Nixon,Tranmere,1988-07-26,1997-08-27,60000,Man City,Stockport,Transfer,1988/89
5877,Eric Nixon,Tranmere,1999-07-04,2003-07-01,Free,Wigan,Sheff Wed,Transfer,1999/00
74288,Erico Sousa,Tranmere,2017-03-22,2017-06-27,Signed,Accrington,Accrington,Transfer,2016/17
133368,Ethan Bristow,Tranmere,2022-06-14,,Free,Reading,,Transfer,2022/23
128732,Ethan Gouldbourne,Tranmere,2020-01-06,2022-07-01,Unknown,,,Unknown,2019/20
89957,Ethan Jones,Tranmere,2016-09-01,2016-11-01,Loan,Shrewsbury,,Loan,2016/17
146008,Ethan Jones,Tranmere,2021-11-08,2022-09-27,Unknown,,Bala Town,Unknown,2021/22
27359,Eugene Dadi,Tranmere,2003-08-08,2005-08-25,Free,Livingston,Nottm Forest,Transfer,2003/04
77160,Evan Gumbs,Tranmere,2014-08-01,2020-08-01,,,Warrington,,2014/15
40982,Evan Horwood,Tranmere,2013-06-19,2014-07-02,Free,Hartlepool,Northampton,Transfer,2013/14
115876,Florent Hoti,Tranmere,2023-03-01,,Unknown,Arbroath,,Unknown,2022/23
115214,Franklyn Akammadu,Tranmere,2018-08-22,2019-01-01,Loan,US Alessandria,,Loan,2018/19
20578,Gareth Edds,Tranmere,2008-06-10,2010-05-31,Free,MK Dons,,Transfer,2008/09
13832,Gareth Powell,Tranmere,1997-08-01,1999-08-15,Trainee,Trainee,Scarborough,Trainee,1997/98
9708,Gareth Roberts,Tranmere,1999-08-13,1999-11-08,Loan,Panionios,,Loan,1999/00
9708,Gareth Roberts,Tranmere,1999-11-09,2006-07-15,Free,Panionios,Doncaster,Transfer,1999/00
7820,Gareth Taylor,Tranmere,2006-07-01,2008-03-02,Free,Nottm Forest,Doncaster,Transfer,2006/07
3982,Gary Jones,Tranmere,1993-07-05,2000-07-01,Trainee,Trainee,Nottm Forest,Trainee,1993/94
3982,Gary Jones,Tranmere,2002-08-29,2002-09-29,Loan,Nottm Forest,,Loan,2002/03
3982,Gary Jones,Tranmere,2002-09-30,2005-07-01,Free,Nottm Forest,Grimsby,Transfer,2002/03
7606,Gary Stevens,Tranmere,1994-09-22,1998-05-31,350000,Rangers,,Transfer,1994/95
18014,Gary Taylor-Fletcher,Tranmere,2015-10-16,2016-10-03,Free,Leicester,Accrington,Transfer,2015/16
50869,Gavin Gunning,Tranmere,2009-08-06,2009-09-06,Loan,Blackburn,,Loan,2009/10
8286,Gavin Ward,Tranmere,2006-06-28,2007-07-02,Free,Preston,Chester,Transfer,2006/07
74148,Gboly Ariyibi,Tranmere,2014-03-24,2014-06-01,Loan,Leeds,,Loan,2013/14
925,Ged Brannan,Tranmere,1990-07-03,1997-03-14,Trainee,Trainee,Man City,Trainee,1990/91
52842,George Barker,Tranmere,2014-10-09,2014-11-09,Loan,Swindon,,Loan,2014/15
51374,George Donnelly,Tranmere,2014-09-01,2015-07-25,Signed,Rochdale,,Transfer,2014/15
81892,George Green,Tranmere,2015-03-26,2015-05-31,Loan,Everton,,Loan,2014/15
116933,George Nugent,Tranmere,2018-10-29,2022-07-01,,,,,2018/19
15089,George O'Callaghan,Tranmere,2008-08-01,2009-05-31,Signed,Cork City,Yeovil,Transfer,2008/09
60385,George Ray,Tranmere,2019-06-24,2021-06-28,Free,Crewe,Exeter,Transfer,2019/20
80602,George Waring,Tranmere,2017-07-01,2019-01-25,Free,Stoke,Chester,Transfer,2017/18
15027,Georges Santos,Tranmere,1998-07-01,2000-03-23,Signed,,West Brom,Transfer,1998/99
55881,Gerardo Bruna,Tranmere,2014-08-11,2014-11-15,Free,Blackpool,Whitehawk,Transfer,2014/15
87751,Gerry McDonagh,Tranmere,2017-10-04,2018-01-02,Loan,Nottm Forest,,Loan,2017/18
